PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 104,,,51276198, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 105,,,51276199, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 106,,,51276200, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 107,,,51276201, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 108,,,51276202, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 109,,,51276203, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 110,,,51276204, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 111,,,51276205, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 112,,,51276206, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 113,,,51276207, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 114,,,51276208, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 115,,,51276209, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 116,,,51276210, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 117,,,51276211, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 118,,,51276212, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 119,,,51276213, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 120,,,51276214, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 121,,,51276215, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 122,,,51276216, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 123,,,51276217, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 124,,,51276218, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 125,,,51276219, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 126,,,51276220, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 127,,,51276221, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,50,Central Point,Room 128,,,51276222, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 201,,,51276223, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 202,,,51276224, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 203,,,51276225, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 204,,,51276226, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 205,,,51276227, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 206,,,51276228, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 207,,,51276229, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 208,,,51276230, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 209,,,51276231, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 210,,,51276232, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 211,,,51276233, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 212,,,51276234, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 213,,,51276235, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 214,,,51276236, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 215,,,51276237, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 216,,,51276238, 
PL1 1DZ,Plymouth,,,Royal Parade,,50,Central Point,,,,18911275,S, ,1L,0,Central Point,Room 217,,,51276239, 
