2025/10/30,12:02:32,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 16,,,57857365, 
2025/10/30,12:02:32,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 17,,,57857366, 
2025/10/30,12:02:32,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 18,,,57857367, 
2025/10/30,12:02:32,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 19,,,57857368, 
2025/10/30,12:02:35,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 20,,,57857369, 
2025/10/30,12:02:35,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 21,,,57857370, 
2025/10/30,12:02:35,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 22,,,57857371, 
2025/10/30,12:02:35,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 23,,,57857372, 
2025/10/30,12:02:35,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 24,,,57857373, 
2025/10/30,12:02:35,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 25,,,57857374, 
2025/10/30,12:02:37,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 3,,,57857352, 
2025/10/30,12:02:37,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 26,,,57857375, 
2025/10/30,12:02:37,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 27,,,57857376, 
2025/10/30,12:02:37,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 28,,,57857377, 
2025/10/30,12:02:37,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 29,,,57857378, 
2025/10/30,12:02:37,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 30,,,57857379, 
2025/10/30,12:02:44,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 31,,,57857380, 
2025/10/30,12:02:44,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 32,,,57857381, 
2025/10/30,12:02:44,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 33,,,57857382, 
2025/10/30,12:02:44,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 34,,,57857383, 
2025/10/30,12:02:44,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 35,,,57857384, 
2025/10/30,12:02:47,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 4,,,57857353, 
2025/10/30,12:02:47,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 36,,,57857385, 
2025/10/30,12:02:47,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 37,,,57857386, 
2025/10/30,12:02:47,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 38,,,57857387, 
2025/10/30,12:02:47,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 39,,,57857388, 
2025/10/30,12:02:47,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 40,,,57857389, 
2025/10/30,12:02:49,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 41,,,57857390, 
2025/10/30,12:02:49,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 42,,,57857391, 
2025/10/30,12:02:49,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 43,,,57857392, 
2025/10/30,12:02:49,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 44,,,57857393, 
2025/10/30,12:02:49,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 45,,,57857394, 
2025/10/30,12:02:49,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 46,,,57857395, 
2025/10/30,12:02:52,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 5,,,57857354, 
2025/10/30,12:02:52,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 47,,,57857396, 
2025/10/30,12:02:52,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 48,,,57857397, 
2025/10/30,12:02:52,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 49,,,57857398, 
2025/10/30,12:02:52,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 50,,,57857399, 
2025/10/30,12:02:52,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 51,,,57857400, 
2025/10/30,12:02:55,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 52,,,57857401, 
2025/10/30,12:02:55,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 53,,,57857402, 
2025/10/30,12:02:55,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 54,,,57857403, 
2025/10/30,12:02:55,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 55,,,57857404, 
2025/10/30,12:02:55,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 56,,,57857405, 
2025/10/30,12:02:55,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 57,,,57857406, 
2025/10/30,12:02:58,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 6,,,57857355, 
2025/10/30,12:02:58,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 58,,,57857407, 
2025/10/30,12:02:58,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 59,,,57857408, 
2025/10/30,12:02:58,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 60,,,57857409, 
2025/10/30,12:02:58,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 61,,,57857410, 
2025/10/30,12:02:58,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 62,,,57857411, 
2025/10/30,12:03:00,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 63,,,57857412, 
2025/10/30,12:03:00,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 64,,,57857413, 
2025/10/30,12:03:00,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 65,,,57857414, 
2025/10/30,12:03:00,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 66,,,57857415, 
2025/10/30,12:03:00,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 67,,,57857416, 
2025/10/30,12:03:00,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 68,,,57857417, 
2025/10/30,12:03:02,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 7,,,57857356, 
2025/10/30,12:03:02,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 69,,,57857418, 
2025/10/30,12:03:02,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 70,,,57857419, 
2025/10/30,12:03:02,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 71,,,57857420, 
2025/10/30,12:03:02,D,YO10 4GB,York,,,Fawcett Street,, ,Waterloo House,,,,57171606,S, ,1A,0,Waterloo House,Studio 72,,,57857421, 
