2025/10/21,15:38:38,C,PL8 1EW,1T,C,7-8
2025/10/21,15:39:36,D,PL8 1EW,2S,C,8
2025/10/21,15:57:04,I,YO31 7EQ,6L,O,Gillygate By The Walls 24
2025/10/22,08:08:53,I,YO8 9UW,1B,U,2
2025/10/22,09:28:44,B,PL1 9JN,1A,Q,Po Box 145
2025/10/22,09:28:44,C,PL1 9JN,1A,Q,Trevi House Ltd Po Box 145
2025/10/22,09:31:19,I,PL2 9ET,1A,S,Po Box 145
2025/10/22,09:53:12,D,PL15 8EX,5D,7,Unit 2 15
2025/10/22,09:53:12,I,PL15 8EX,5D,7,Fawkes Fitness Unit 2 15
2025/10/22,10:26:19,I,PL9 7GT,1F,4,17
2025/10/22,10:43:16,I,PL27 6GN,1J,8,4
2025/10/22,11:52:56,I,YO11 1TS,3H,K,62a
2025/10/22,12:03:23,I,YO11 1TS,3J,S,63
2025/10/22,12:17:46,I,YO11 1TS,3L,O,63a
2025/10/22,12:42:21,I,YO51 9SA,3Z,P,33
2025/10/22,13:33:33,D,PL20 6QE,2A,U,Dewerstone Ltd
2025/10/22,13:41:35,I,PL9 8WE,1B,2,2
2025/10/22,15:30:53,D,YO15 3HS,2Y,O,Top Flat 30
2025/10/22,15:32:48,D,YO16 4SF,2B,7,Unit A
2025/10/22,15:32:48,I,YO16 4SF,2B,7,Mega Beds Unit A
2025/10/22,15:33:42,D,YO16 4SJ,5H,K,Unit 4
2025/10/22,15:33:42,I,YO16 4SJ,5H,K,X Catalogue Shop Unit 4
2025/10/22,15:35:44,I,YO16 4SJ,7A,L,Helmed Unit 14
2025/10/22,15:37:51,I,YO15 3HP,3E,8,R S Bodyshop Ltd 3a
2025/10/23,09:00:17,I,YO8 5SE,1G,B,2 The Coppice
2025/10/23,09:06:46,I,YO8 5SE,1F,A,1 The Coppice
2025/10/23,09:19:08,B,PL23 1BS,1A,K,Place House
2025/10/23,09:19:08,C,PL23 1BS,1A,K,Place
2025/10/23,10:47:18,I,PL15 7QH,1H,2,Bliss Hair Design
2025/10/23,10:55:45,D,PL6 5AH,1D,F,Latte Dah 22
2025/10/23,10:55:45,I,PL6 5AH,1D,F,22
2025/10/23,10:56:18,B,PL3 4RQ,1Q,E,Ultraviolet 84 84
2025/10/23,10:56:18,C,PL3 4RQ,1Q,E,Wren Devon 84
2025/10/23,11:37:47,I,YO11 3YH,3P,O,24
2025/10/23,11:53:51,I,YO17 7AA,5A,Q,Elegant Finishes 31
2025/10/23,12:02:04,D,PL13 2RR,1F,A,Pedyr's Bake House 4
2025/10/23,12:02:04,I,PL13 2RR,1F,A,4
2025/10/23,12:47:17,B,PL19 8AQ,1H,0,Boutique Gin Shack 86-87
2025/10/23,12:47:17,C,PL19 8AQ,1H,0,Rolys Fudge 86-87
2025/10/23,13:04:01,D,YO12 7HZ,2B,F,168
2025/10/23,14:01:31,I,YO30 7ER,1N,L,19
2025/10/23,14:30:16,I,YO31 8NS,2T,Y,The Beauty Bar 2
2025/10/23,15:03:15,I,YO17 7AA,5B,R,Harrowells Ltd 31
2025/10/23,15:14:42,I,YO51 9RX,1B,R,2
2025/10/23,16:23:33,I,PL14 3LS,2G,3,Treweatha House
2025/10/24,08:34:35,B,PL12 6JL,3E,0,Saltash Studios 24
2025/10/24,08:34:35,C,PL12 6JL,3E,0,Carbon Pixel 24
2025/10/24,11:04:05,D,YO8 4JS,1N,M,19
2025/10/24,11:04:05,I,YO8 4JS,1N,M,Choco Latte 19
2025/10/24,11:18:51,B,PL12 6NG,1S,B,Saltash Storage Ltd Unit 4 Long Orchard
2025/10/24,11:18:51,C,PL12 6NG,1S,B,Pip & Heather Ltd Unit 4 Long Orchard
2025/10/24,11:19:46,B,PL1 3NB,1R,T,Ali Babas 115
2025/10/24,11:19:46,C,PL1 3NB,1R,T,Wing City 115
2025/10/24,11:22:15,D,PL24 2NF,1D,O,Paiges Hair Dressers 13
2025/10/24,11:22:15,I,PL24 2NF,1D,O,13
2025/10/24,11:38:13,I,PL13 1PR,3L,F,Homestead
2025/10/24,11:58:55,I,YO16 6BB,1H,Z,7
2025/10/24,12:02:31,I,PL25 5FQ,1X,F,60
2025/10/24,12:06:47,I,PL21 0JB,1P,Z,21
2025/10/24,12:23:43,I,PL21 0ZH,1D,3,6
2025/10/24,12:23:43,I,PL21 0ZH,1E,4,8
2025/10/24,12:23:43,I,PL21 0ZH,1G,0,12
2025/10/24,12:23:43,I,PL21 0ZH,1N,7,20
2025/10/24,12:23:43,I,PL21 0ZH,1P,F,22
2025/10/24,12:23:43,I,PL21 0ZH,1S,C,28
2025/10/24,12:29:26,I,PL15 9RF,5X,N,B J R Building Services
2025/10/24,17:25:56,D,YO25 9DJ,4A,2,Thornton-Varley Ltd Workshop Unit 7
2025/10/24,17:25:56,I,YO25 9DJ,4A,2,Workshop Unit 7
2025/10/24,17:26:39,D,YO31 9BL,1U,M,Phoenix Healthcare Distribution Ltd Electra House
2025/10/24,17:26:39,I,YO31 9BL,1U,M,Electra House Unit 2
2025/10/25,08:09:43,I,PL19 9FJ,1D,1,5
2025/10/25,11:14:06,I,YO62 4BT,1F,8,5
2025/10/25,12:02:10,D,YO7 1LQ,1A,B,1 Steads Yard
2025/10/25,12:02:10,I,YO7 1LQ,1A,B,Amica Hair & Beauty 1 Steads Yard
2025/10/27,08:58:35,I,YO15 3BN,2D,Y,24
2025/10/27,09:03:34,I,YO61 3SR,1S,4,27
2025/10/27,09:08:33,I,PL9 7GT,1E,3,15
2025/10/27,09:16:22,D,YO11 1SR,2X,3,Michael Brown Racing 1a
2025/10/27,09:16:22,I,YO11 1SR,2X,3,1a
2025/10/27,09:19:40,B,YO18 7AJ,3F,9,Yorkshire Kitchens 7
2025/10/27,09:19:40,C,YO18 7AJ,3F,9,Yorkshire Kitchen & Interiors 7
2025/10/27,09:20:09,D,YO19 6QR,2E,V,Unit 12 A19 Business Park
2025/10/27,09:20:57,D,YO24 1AX,3R,K,C M L 105
2025/10/27,09:20:57,I,YO24 1AX,3R,K,105
2025/10/27,09:21:17,D,YO30 4XA,3X,Q,Blackwell & Denton 12
2025/10/27,09:21:17,I,YO30 4XA,3X,Q,12
2025/10/27,09:21:40,B,YO62 5DW,1F,K,Pennitas 7
2025/10/27,09:21:40,C,YO62 5DW,1F,K,Court House Framers 7
2025/10/27,11:23:15,I,YO11 3BD,3T,1,31
2025/10/27,13:25:29,D,YO42 1BZ,1U,O,29
2025/10/27,13:26:25,D,YO42 1DE,1S,9,3
2025/10/27,16:24:20,I,YO12 4FN,3P,D,2
2025/10/28,08:44:29,I,PL9 8WE,1A,1,1
2025/10/28,09:55:48,I,YO26 6SG,3T,U,42
2025/10/28,10:02:02,I,PL32 9XN,3R,S,3 Inny Vale Holiday Village
2025/10/28,10:46:51,I,YO15 3EW,2Y,V,18
2025/10/28,10:48:59,I,PL31 2XF,2D,3,45
2025/10/28,12:32:36,I,YO7 4DJ,1R,G,Skylark Mews Manor House Farm
2025/10/28,12:32:53,D,YO7 4DJ,1R,G,Skylark Mews Manor House Farm
2025/10/28,13:33:04,D,YO62 5DD,1J,B,1a
2025/10/28,13:33:04,I,YO62 5DE,2R,F,1a
2025/10/28,13:34:15,I,YO62 5DE,2Q,E,1b
2025/10/28,13:35:20,I,YO25 6LJ,2E,F,Essential Beauty 24
2025/10/28,13:38:12,B,PL7 5JX,2T,M,Mark Holt & Co Ltd 7 Sandy Court
2025/10/28,13:38:12,C,PL7 5JX,2T,M,Wilson Partners 7 Sandy Court
2025/10/28,13:40:49,I,PL21 0WL,3X,Q,49
2025/10/28,13:40:49,I,PL21 0WL,3Y,R,51
2025/10/28,13:40:49,I,PL21 0WL,3Z,S,53
2025/10/28,13:40:49,I,PL21 0WL,4A,4,55
2025/10/28,13:40:49,I,PL21 0WL,4B,5,57
2025/10/28,13:45:38,D,PL21 0SG,2Q,9,The Lodge At Colmer Colmer Estate
2025/10/28,13:46:22,B,PL15 8EX,5Z,T,Bristol Street Motors plc
2025/10/28,13:46:22,C,PL15 8EX,5Z,T,Vertus
2025/10/28,13:46:41,B,PL15 8EX,7P,R,Kensey Care Services
2025/10/28,13:46:41,C,PL15 8EX,7P,R,Athena Learning Trust
2025/10/28,13:47:01,D,PL15 8EX,4N,G,Unit 4 Southern Court
2025/10/28,13:47:01,I,PL15 8EX,4N,G,Bendall Carpentry Unit 4 Southern Court
2025/10/28,13:47:16,D,PL15 8EX,5E,8,Unit 6 Southern Court
2025/10/28,13:47:16,I,PL15 8EX,5E,8,Stove Centre Unit 6 Southern Court
2025/10/28,13:47:35,I,PL15 8EX,7Y,U,Eclipse Training Unit 5
2025/10/28,13:47:55,D,PL15 8EX,7F,H,Unit 13b-13c
2025/10/28,13:47:55,I,PL15 8EX,7F,H,Hiscox Core Fitness Unit 13b-13c
2025/10/28,13:48:11,D,PL15 8EX,7L,N,Unit 13e
2025/10/28,13:48:11,I,PL15 8EX,7L,N,Launceston Commercials Unit 13e
2025/10/28,13:48:28,B,PL15 8EX,5D,7,Fawkes Fitness Unit 2 15
2025/10/28,13:48:28,C,PL15 8EX,5D,7,Russell Ham Unit 2 15
2025/10/28,13:57:13,I,YO62 6TE,3U,0,Wesley Cottage
2025/10/28,14:52:04,I,YO8 6LW,2P,3,All Saints Church
2025/10/28,16:10:07,D,PL9 8SF,1B,Z,Abbeyfield Society 52
2025/10/28,16:10:07,I,PL9 8SF,1B,Z,52
2025/10/28,16:39:28,I,PL25 4PX,4J,K,3
2025/10/28,16:42:56,I,YO42 2JB,1W,H,25a
