PL9 8XR,Plymouth,Sherford,,Briar Park,,7,,,,,,56877286,S, ,1F,20251121
PL9 8XT,Plymouth,Sherford,,Aquila Drive,,255,,,,,,57220071,S, ,1N,20251106
PL9 8XT,Plymouth,Sherford,,Aquila Drive,,269,,Flat 1,,,,57220078,S, ,1W,20251106
PL9 8XT,Plymouth,Sherford,,Aquila Drive,,269,,Flat 5,,,,57220082,S, ,2A,20251106
PL9 8XT,Plymouth,Sherford,,Aquila Drive,,195,,,,,,57296179,S, ,3W,20251106
PL9 8XT,Plymouth,Sherford,,Aquila Drive,,199,,,,,,57296181,S, ,3Y,20251106
PL9 8XT,Plymouth,Sherford,,Aquila Drive,,209,,,,,,57296186,S, ,4E,20251106
PL9 8XT,Plymouth,Sherford,,Aquila Drive,,213,,,,,,57296188,S, ,4G,20251106
PL9 8XY,Plymouth,Sherford,,Lunar Crescent,,10,,,,,,57220134,S, ,1F,20251106
PL9 8YA,Plymouth,Sherford,,Nimbus Road,,33,,,,,,57220164,S, ,1T,20251020
PL9 8YA,Plymouth,Sherford,,Nimbus Road,,39,,,,,,57220167,S, ,1X,20251103
PL9 8YD,Plymouth,Sherford,,Sunbeam Close,,1,,,,,,57220191,S, ,1A,20251117
PL9 8YD,Plymouth,Sherford,,Sunbeam Close,,3,,,,,,57220192,S, ,1B,20251106
PL9 8YE,Plymouth,Sherford,,Alto Road,,2,,,,,,57220206,S, ,1A,20251110
PL9 8YE,Plymouth,Sherford,,Alto Road,,4,,,,,,57220207,S, ,1B,20251108
PL9 8YE,Plymouth,Sherford,,Alto Road,,1,,,,,,57220215,S, ,1N,20251021
PL9 8YR,Plymouth,Sherford,,Sky Lane,,2,,,,,,57672786,S, ,1G,20251118
PL9 9QG,Plymouth,,,Hooe Hill,,40,,,,,,58208366,S, ,1L,20251119
PL11 2FA,Torpoint,,,Trevol Business Park,,0,Trevol Court,Unit 2,,,,57040030,S, ,1B,20251106
PL12 6FQ,Saltash,Carkeel,,Trerice Crescent,,3,,,,,,57806342,S, ,1D,20251106
PL12 6FR,Saltash,Carkeel,,Trewithen Green,,18,,,,,,57806374,S, ,1X,20251119
PL12 6GA,Saltash,Carkeel,,Treledan Way,,71,,,,,,57806270,S, ,2H,20251113
PL12 6GJ,Saltash,Carkeel,,Great Longlands Drive,,31,,,,,,56828677,S, ,1U,20251106
PL12 6GR,Saltash,Carkeel,,Longfield Avenue,,63,,,,,,56828999,S, ,2Q,20251106
PL12 6GR,Saltash,Carkeel,,Longfield Avenue,,62,,,,,,56829033,S, ,4G,20251105
PL12 6GR,Saltash,Carkeel,,Longfield Avenue,,64,,,,,,56829034,S, ,4H,20251105
PL12 6GR,Saltash,Carkeel,,Longfield Avenue,,66,,,,,,56829035,S, ,4J,20251105
PL12 6GR,Saltash,Carkeel,,Longfield Avenue,,68,,,,,,56829036,S, ,4L,20251105
PL12 6GR,Saltash,Carkeel,,Longfield Avenue,,70,,,,,,56829037,S, ,4N,20251105
PL12 6GR,Saltash,Carkeel,,Longfield Avenue,,72,,,,,,56829038,S, ,4P,20251105
PL12 6GR,Saltash,Carkeel,,Longfield Avenue,,74,,,,,,56829039,S, ,4Q,20251105
PL12 6GR,Saltash,Carkeel,,Longfield Avenue,,76,,,,,,56829040,S, ,4R,20251105
PL12 6GR,Saltash,Carkeel,,Longfield Avenue,,78,,,,,,56829041,S, ,4S,20251105
PL12 6GU,Saltash,Carkeel,,Little Leas Park,,9,,,,,,56829068,S, ,1F,20251021
PL12 6GU,Saltash,Carkeel,,Little Leas Park,,8,,,,,,56829076,S, ,1R,20251106
PL12 6GU,Saltash,Carkeel,,Little Leas Park,,10,,,,,,56829077,S, ,1S,20251031
PL12 6GU,Saltash,Carkeel,,Little Leas Park,,14,,,,,,56829079,S, ,1U,20251106
PL13 1PR,Looe,Morval,,,,0,Homestead,,,,,58082894,S, ,3L,20251024
PL14 5JS,Liskeard,Darite,,,,0,Oakley Barn,,,,,56996517,S, ,1G,20251121
PL14 5NA,Liskeard,Pensilva,,Slade Park Road,,0,,,,,Higher Slade Farm,58181416,S,Y,2D,20251030
PL15 7TG,Launceston,Trewint,,,,0,Dowr House,,,,,57828115,S, ,3X,20251119
PL15 9TT,Launceston,,,Kings Meadow,,2,,,,,,57533340,S, ,1B,20251030
PL16 0FE,Lifton,,,Borough Court,,5,,,,,,57448382,S, ,1F,20251104
PL17 7FL,Callington,,,Galena View,,6,,,,,,55679049,S, ,1G,20251030
PL17 7NQ,Callington,Golberdon,,,,0,Scrawsdon Retreat,,,,,56788788,S, ,2D,20251112
PL17 8DZ,Callington,,,Florence Hill,,0,Avalennek,,,,,57729995,S, ,2H,20251106
PL17 8HY,Callington,Sherwell,,,,0,Little Treleath,,,,,58209662,S, ,1X,20251121
PL19 0JT,Tavistock,Wilminstone,,,,0,Windfall,,,,,58185678,S, ,1Q,20251104
PL19 8GP,Tavistock,,,Vixen Tor Road,,40,,,,,,56940977,S, ,1Z,20251106
PL19 9FJ,Tavistock,,,Quince Avenue,,5,,,,,,57482718,S, ,1D,20251025
PL19 9FN,Tavistock,,,Cherry Tree Close,,4,,,,,,57482725,S, ,1E,20251104
PL20 7FP,Yelverton,Crapstone,,Jubilee Drive,,14,,,,,,57006804,S, ,1S,20251108
PL21 0JB,Ivybridge,Filham,,Pintail Drive,,21,,,,,,57140782,S, ,1P,20251024
PL21 0LU,Ivybridge,Penquit,,,,0,2 Craig Cottages,,,,,58181534,S, ,1S,20251030
PL21 0WL,Ivybridge,Filham,,Cross Park,,49,,,,,,57140703,S, ,3X,20251028
PL21 0WL,Ivybridge,Filham,,Cross Park,,51,,,,,,57140704,S, ,3Y,20251028
PL21 0WL,Ivybridge,Filham,,Cross Park,,53,,,,,,57140705,S, ,3Z,20251028
PL21 0WL,Ivybridge,Filham,,Cross Park,,55,,,,,,57140706,S, ,4A,20251028
PL21 0WL,Ivybridge,Filham,,Cross Park,,57,,,,,,57140707,S, ,4B,20251028
PL21 0ZH,Ivybridge,Filham,,Linnet Avenue,,6,,,,,,57140746,S, ,1D,20251024
PL21 0ZH,Ivybridge,Filham,,Linnet Avenue,,8,,,,,,57140747,S, ,1E,20251024
PL21 0ZH,Ivybridge,Filham,,Linnet Avenue,,12,,,,,,57140749,S, ,1G,20251024
PL21 0ZH,Ivybridge,Filham,,Linnet Avenue,,20,,,,,,57140753,S, ,1N,20251024
PL21 0ZH,Ivybridge,Filham,,Linnet Avenue,,22,,,,,,57140754,S, ,1P,20251024
PL21 0ZH,Ivybridge,Filham,,Linnet Avenue,,28,,,,,,57140757,S, ,1S,20251024
PL22 0FD,Lostwithiel,,,The Yard,,35,,,,,,57247496,S, ,2T,20251106
PL23 1HG,Fowey,,,Polvillion Road,,0,Lawhyre,Brithlen,,,,58161516,S, ,2Y,20251103
PL25 3AS,St. Austell,,,Sandy Hill,,0,2a,,,,,57880130,S, ,1Q,20251106
PL25 5FQ,St. Austell,,,Alexanders Avenue,,60,,,,,,56910249,S, ,1X,20251024
PL25 5FQ,St. Austell,,,Alexanders Avenue,,62,,,,,,56910250,S, ,1Y,20251118
PL25 5FQ,St. Austell,,,Alexanders Avenue,,72,,,,,,56910255,S, ,2E,20251110
PL25 5FQ,St. Austell,,,Alexanders Avenue,,78,,,,,,56910258,S, ,2H,20251031
PL25 5FQ,St. Austell,,,Alexanders Avenue,,80,,,,,,56910259,S, ,2J,20251106
PL25 5GD,St. Austell,,,Ragwort Court,,9,,,,,,56910715,S, ,1L,20251106
PL25 5GQ,St. Austell,,,Vetch Avenue,,2,,,,,,56910377,S, ,1X,20251106
PL25 5GQ,St. Austell,,,Vetch Avenue,,4,,,,,,56910378,S, ,1Y,20251106
PL25 5GY,St. Austell,,,Tutsan Lane,,32,,,,,,56949838,S, ,2G,20251106
PL25 5HY,St. Austell,,,Meadowsweet Walk,,2,,,,,,56910674,S, ,1B,20251106
PL25 5HY,St. Austell,,,Meadowsweet Walk,,10,,,,,,56910682,S, ,1N,20251106
PL25 5HY,St. Austell,,,Meadowsweet Walk,,11,,,,,,56910683,S, ,1P,20251106
PL25 5HY,St. Austell,,,Meadowsweet Walk,,12,,,,,,56910684,S, ,1Q,20251106
PL25 5HY,St. Austell,,,Meadowsweet Walk,,13,,,,,,56910685,S, ,1R,20251106
PL25 5HY,St. Austell,,,Meadowsweet Walk,,14,,,,,,56910686,S, ,1S,20251110
PL25 5HY,St. Austell,,,Meadowsweet Walk,,18,,,,,,56910690,S, ,1X,20251106
PL25 5HZ,St. Austell,,,Stonecrop Crescent,,3,,,,,,56910693,S, ,1D,20251106
PL26 7FN,St. Austell,High Street,,Valley View Close,,7,,,,,,57960097,S, ,1H,20251106
PL26 7PB,St. Austell,St. Stephen,,Creakavose,,0,62a,,,,,57733068,S, ,1D,20251106
PL26 8WN,St. Austell,,,Higher Bugle,,0,14 Caudledown Mill Court,,,,,57910634,S, ,1R,20251020
PL26 8WN,St. Austell,,,Higher Bugle,,0,15 Caudledown Mill Court,,,,,57910635,S, ,1S,20251020
PL26 8YQ,St. Austell,Trethurgy,,,,0,Ty Melberry,,,,,58123793,S, ,2G,20251113
PL27 6GJ,Wadebridge,,,Hope Street,,5,,,,,,57160146,S, ,1F,20251106
PL27 6GJ,Wadebridge,,,Hope Street,,29,,,,,,57160170,S, ,2L,20251111
PL27 6GJ,Wadebridge,,,Hope Street,,44,,,,,,57160185,S, ,3E,20251106
PL27 6GJ,Wadebridge,,,Hope Street,,48,,,,,,57160189,S, ,3J,20251101
PL27 6GJ,Wadebridge,,,Hope Street,,50,,,,,,57160191,S, ,3N,20251119
PL27 6GJ,Wadebridge,,,Hope Street,,60,,,,,,57160201,S, ,3Z,20251111
PL27 6GJ,Wadebridge,,,Hope Street,,62,,,,,,57160203,S, ,4B,20251106
PL27 6GN,Wadebridge,,,Bee Garden Vale,,4,,,,,,57160314,S, ,1J,20251022
PL27 6US,Wadebridge,New Polzeath,,Atlantic Mews,,0,Atlantic House Hotel,Apartment 5,,,,55441062,S, ,1F,20251106
PL27 7HZ,Wadebridge,,,,,0,Bodellick Farm,Rosmowhay,,,,58181423,S, ,1N,20251030
PL31 2HQ,Bodmin,,,Fore Street,,0,24c,Unit 1,,,,58186418,S, ,2W,20251104
